date,CSI300,STAR50,CGB
2021-03-08,5.08,1.316,121.99
2021-03-09,4.979,1.269,121.854
2021-03-10,5.0,1.272,121.929
2021-03-11,5.129,1.304,121.844
2021-03-12,5.142,1.298,121.854
2021-03-15,5.04,1.26,121.791
2021-03-16,5.073,1.258,121.627
2021-03-17,5.096,1.271,121.673
2021-03-18,5.136,1.277,121.618
2021-03-19,4.997,1.266,121.594
2021-03-22,5.054,1.28,121.61
2021-03-23,5.009,1.273,121.639
2021-03-24,4.933,1.258,121.79
2021-03-25,4.929,1.259,121.885
2021-03-26,5.033,1.293,121.72
2021-03-29,5.043,1.286,121.71
2021-03-30,5.087,1.286,121.902
2021-03-31,5.05,1.284,121.934
2021-04-01,5.112,1.303,121.9
2021-04-02,5.161,1.338,122.082
2021-04-06,5.133,1.335,122.004
2021-04-07,5.098,1.339,121.987
2021-04-08,5.109,1.33,121.829
2021-04-09,5.038,1.309,121.825
2021-04-12,4.954,1.282,122.049
2021-04-13,4.947,1.28,122.313
2021-04-14,4.975,1.29,122.273
2021-04-15,4.947,1.3,122.279
2021-04-16,4.963,1.315,122.339
2021-04-19,5.089,1.336,122.261
2021-04-20,5.081,1.33,122.322
2021-04-21,5.093,1.325,122.555
2021-04-22,5.089,1.345,122.457
2021-04-23,5.14,1.352,122.746
2021-04-26,5.076,1.352,122.581
2021-04-27,5.089,1.352,122.483
2021-04-28,5.127,1.361,122.398
2021-04-29,5.173,1.363,122.452
2021-04-30,5.128,1.364,122.6
2021-05-06,5.061,1.348,122.633
2021-05-07,5.0,1.304,122.587
2021-05-10,4.999,1.294,122.65
2021-05-11,5.025,1.294,122.892
2021-05-12,5.056,1.31,122.9
2021-05-13,5.001,1.313,122.726
2021-05-14,5.127,1.341,122.739
2021-05-17,5.188,1.367,122.887
2021-05-18,5.19,1.359,122.856
2021-05-19,5.176,1.365,123.059
2021-05-20,5.19,1.369,123.229
2021-05-21,5.135,1.354,123.351
2021-05-24,5.163,1.371,123.377
2021-05-25,5.327,1.408,123.167
2021-05-26,5.328,1.404,123.225
2021-05-27,5.347,1.437,123.134
2021-05-28,5.332,1.43,123.132
2021-05-31,5.338,1.484,122.902
2021-06-01,5.346,1.502,123.071
2021-06-02,5.303,1.469,122.985
2021-06-03,5.262,1.456,122.966
2021-06-04,5.295,1.475,123.015
2021-06-07,5.289,1.475,122.876
2021-06-08,5.247,1.465,122.896
2021-06-09,5.255,1.472,122.86
2021-06-10,5.289,1.498,122.888
2021-06-11,5.24,1.493,122.712
2021-06-15,5.181,1.499,122.69
2021-06-16,5.11,1.453,122.937
2021-06-17,5.121,1.528,122.873
2021-06-18,5.126,1.55,122.968
